a,b,c,s
217094.8083,34898.21511,165652.6513,0.542977339
13885227.86,2160777.693,9153757.756,0.448739201
277551.5985,47453.40047,171242.802,0.510989386
35096019.2,4974825.888,15795103.57,0.322602464
1170006.551,197870.114,717215.0456,0.502185093
28715255.78,8542846.85,9095384.704,0.43739411
364989.9669,61072.8518,167788.9994,0.403380536
227196.6985,58095.72199,44200.3938,0.407036259
1603941.198,448206.9215,272845.211,0.337609249
226742.4925,37239.34597,86331.2405,0.341274267
13488.51172,3783.986121,0.018287678,0.285403528
303769.9134,69328.56379,166686.4901,0.524020958
221307.0949,55538.8703,68519.34048,0.446917357
869849.7049,165636.1657,311986.997,0.397050646
193719.3283,26477.07563,90370.76172,0.239918066
288294.6496,40873.59947,144332.8088,0.457536295
427228.957,123083.1191,92787.75352,0.307843625
693664.742,100648.5471,347471.8366,0.44173114
497771.0105,179919.0535,115949.4517,0.411548175
427267.5696,92795.57969,168552.3589,0.462524865
586741.2853,114873.5697,269693.6875,0.415939602
8718050.614,1893714.538,3005091.854,0.307276462
434140.1682,103943.5808,145273.9989,0.369467713
143525.4506,34903.64792,50835.88948,0.313345518
13094205.82,2308224.055,4832231.031,0.353470106
1025357.7,135593.3149,715433.2635,0.466635905
388202.505,107625.6381,107182.3562,0.463487209
45129928.5,10153633.81,12309572.04,0.297158103
706637.7309,131618.9035,337119.6192,0.469762874
1119789.988,152735.8519,593546.6584,0.428966521
277113.6261,59161.55559,107307.591,0.468599264
53894053.59,14004347.54,13438828.77,0.419348537
351453.4219,62695.81757,131575.8187,0.397050099
590635.4319,118970.3565,155147.2176,0.341424833
427180.8344,67441.62175,315504.2216,0.486554136
9972704.392,2097840.425,3868292.288,0.469665535
1046735.179,243104.7102,352379.7757,0.387726835
2147302.958,414110.0092,494855.232,0.281926834
248945.3027,59426.9909,96923.98356,0.43449501
1541012.013,283206.5807,699802.0176,0.453442978
230428.7902,87017.56595,40311.73962,0.447038124
334465.271,46663.24877,179308.9357,0.398952424
