a,b,s
0.751079799,0.120350184,0.608122117
1.663845133,0.388050474,0.514407046
1.553073146,0.385201525,0.567323999
3.322322436,0.660845704,0.367320156
1.623375921,0.399795506,0.570649158
7.367226734,2.749628429,0.469770719
2.892774696,0.625051941,0.459657332
580.0937786,172.8963017,0.414898104
10322.30714,3314.352477,0.34872725
3.171258521,0.634739263,0.375471068
2176.935086,616.0791461,0.285533212
2.854402171,0.864352317,0.576194017
8.367434954,2.577044297,0.482921313
3.249337918,0.712175291,0.422672958
1.940535121,0.337761434,0.288341805
42.15727261,9.435710303,0.50853649
5.931837861,1.850362211,0.31714949
2.366202981,0.437361968,0.50057236
10.11476726,4.23254991,0.429687201
2.981297358,0.754552467,0.503241545
3.722350596,1.048481688,0.467387951
3.482505657,0.872541513,0.337127979
3.739537683,1.065999536,0.40305337
1.655021345,0.411398546,0.332636879
3.250662338,0.675039237,0.386370236
1.304082157,0.256188868,0.545637636
9.988489974,3.371052205,0.490815805
4.852058752,1.259133129,0.32886785
2.615646201,0.672135987,0.519078501
2.499203779,0.475957139,0.473706274
2.517335316,0.573570006,0.494880626
4.83603676,1.400662403,0.440176932
3.824183079,0.863998751,0.436510096
295.9110655,74.08951007,0.361758819
1.056103717,0.221915965,0.557454836
2.835296514,0.704345144,0.506093171
6.522205574,1.989797564,0.415996658
2449.271182,589.9787576,0.293403262
3.039718642,0.891144087,0.470807467
1.79362758,0.376017745,0.495922123
11.8863998,4.927511917,0.461870937
1.380015607,0.240931032,0.455161488
1.569820488,0.289835549,0.574594774
5683.121672,1437.331703,0.435516344
2.059746148,0.280422409,0.38027175
1.017189105,0.149227862,0.550338469
1.213263094,0.111545392,0.443157131
2.069231619,0.506787804,0.474377799
3.571863504,0.996216555,0.438774003
2.810669783,0.61049203,0.39851123
0.726980774,0.051498419,0.628922723
1.592158421,0.300224582,0.514187785
2.075841554,0.487882639,0.474032431
3.996093977,1.24696113,0.446849257
4.453238417,0.753508743,0.353168073
3.391445784,0.661608599,0.45192497
42.24084551,9.133238858,0.356956729
9.822135846,3.258065104,0.437781564
3.085223826,0.904230572,0.567527838
6.631812205,2.299993756,0.38727071
1.706795918,0.495864722,0.518756738
1.516861201,0.267952968,0.483581412
3.000672922,0.689904785,0.502273949
2.918898293,0.615235704,0.280051882
0.896382266,0.101737215,0.455526446
1.173899869,0.146706564,0.413440619
635326.6184,185780.2673,0.41175738
3.431980805,1.043477109,0.381767481
3.531420976,1.457468663,0.598647469
3.62319563,0.820721743,0.41388367
3.583107395,0.779598232,0.313462043
2.981987844,0.904162295,0.623397613
750.9753519,189.5485241,0.382257034
7.382819329,2.321790864,0.427248967
6.101451783,1.899201683,0.362771425
17.18177273,5.935598923,0.341493567
1.427905076,0.193851542,0.476619441
2.537611451,0.53786854,0.442078269
1.801460551,0.326887379,0.528717732
14.1312711,5.415061363,0.53718043
3.43367555,0.791635016,0.439463072
1.331943858,0.258986873,0.596921699
2.128424728,0.492554909,0.576178004
11.79148434,2.016231943,0.453481566
24.55960946,7.418536219,0.471147918
6.860863156,2.143308406,0.407677688
5.829292673,1.738475804,0.359655827
18277.91702,5319.84753,0.361945299
1.304907552,0.187622616,0.554133713
6.350216341,2.211753456,0.469319291
2.644375993,0.772477215,0.438422873
2.890550505,0.815347567,0.479313283
6.022379894,1.871584638,0.387733267
2.053970613,0.556160226,0.341295531
8.579705147,3.245951902,0.509074276
1.61601491,0.394257004,0.555522769
4.295599998,1.230736632,0.496566147
5.044917361,0.987628789,0.404747171
12.06397978,5.088994202,0.534719837
2.797790849,0.578730032,0.464760568
3.142997636,0.722836477,0.355967349
9.988170541,3.600070412,0.36058763
3.64731315,1.011425051,0.472475432
3.037475511,0.824962784,0.517956337
2.908774258,0.771994436,0.46805793
1.04294444,0.149591358,0.459693043
1.410078662,0.291862931,0.510027406
17267.64532,3916.345358,0.556813308
8.364019815,2.847894107,0.512724528
4.182476004,1.18708967,0.483214206
4.103260406,1.048614012,0.416146798
2259.371818,654.02219,0.368424312
3.101399866,0.903558867,0.501530593
1.238258936,0.210084168,0.568208059
2.517388998,0.34402821,0.404565508
1.081947005,0.212323568,0.573118765
9.956190794,4.094824966,0.415079649
5.237894582,1.563248342,0.50775776
1.888567703,0.246369201,0.393736166
463.9530529,158.7171004,0.469397651
2.653845204,0.582805964,0.468129413
7.97900388,3.065761551,0.63325866
1010.061747,314.5056749,0.382275641
3649.498007,910.2009243,0.361245904
3.020370951,0.679135247,0.398102619
167415.7079,44670.28082,0.35393875
1160.888644,306.9012407,0.356752205
4.4137112,1.48924369,0.551479874
1.126932351,0.165986561,0.452055131
22959.32829,6185.454032,0.236868324
2.169073844,0.574177047,0.482439192
2.707675655,0.579888772,0.468641878
2.972307735,0.637125942,0.525000069
3.50663918,0.982543576,0.432778353
4.123016475,1.218963868,0.488631532
4.975872455,1.822529143,0.425724139
2584.070007,741.4619638,0.402556897
2.191327834,0.438349754,0.4439708
5.448771622,1.443324336,0.39990106
5.254778965,1.685256734,0.356220159
4.83204981,1.617434768,0.408047848
3.791156478,0.736816404,0.404737402
0.985748208,0.193552058,0.618632206
1.603155558,0.332507142,0.364378896
1.635844557,0.390826071,0.44443776
208088.3717,69122.49769,0.312075268
3.039769541,0.825055343,0.537885491
2.653364059,0.496844833,0.473862468
2.100077292,0.503912241,0.522159682
1213.930181,363.2106984,0.451343441
7.794864356,2.473814013,0.48435654
4.501341995,1.322185453,0.436363681
12.26311807,4.572458477,0.383081537
4.236693267,0.984262581,0.492485666
42156.33107,10434.85611,0.472154453
0.980790012,0.148457659,0.548429675
4.415591176,1.228167403,0.423205461
3.639205295,0.77958939,0.389164467
905.8867471,316.0855022,0.335112741
3.166886476,0.866608799,0.409667618
1.752125862,0.345246108,0.566997264
2.569916124,0.592717775,0.364580844
2.674185433,0.78390294,0.483350136
2.466319411,0.715289819,0.519638719
1.847629321,0.313526727,0.414734308
