video_id,trial_id,trial_week,trial_rep,camera_num,video_length,video_minutes,video_seconds,video_subtotal,tank_id,crab_dens,prey_in,prey_eaten,metadat_id,crab_id,aggressive_posture,fights_initiated,fights_responded,claw_strikes,claw_claps,mussels_handled,mussels_eaten,duration_activity,activity_minutes,activity_seconds,activity_subtotal,notes,
1.2.1,1.2.3.20,1,2,1,19:53,19,53,19.88,1-BD,3,20,12,10.2,10,0,0,0,0,0,2,0,3:28,3,28,3.47,GP060796,
1.2.1,1.2.3.20,1,2,1,19:53,19,53,19.88,1-BD,3,20,12,9.2,9,0,0,0,0,0,2,2,0:26,0,26,0.43,,
1.2.1,1.2.3.20,1,2,1,19:53,19,53,19.88,1-BD,3,20,12,2.2,2,0,0,0,0,0,1,0,2:23,2,23,2.38,GP030796,
1.2.1,1.2.3.20,1,2,1,19:53,19,53,19.88,1-BD,3,20,12,9.2,9,0,0,0,0,0,2,2,1:56,1,56,1.93,,
1.2.1,1.2.3.20,1,2,1,8:15,8,15,8.25,1-BD,3,20,12,9.2,9,0,0,0,0,0,3,1,+1:31 min,1,31,1.52,GP070796,Light goes out at 8:15
1.2.1,1.2.3.20,1,2,1,19:53,19,53,19.88,1-BD,3,20,12,2.2,2,1,1,0,1,0,2,0,1:48 min,1,48,1.8,GP040796 scrap @9:58?,
1.2.1,1.2.3.20,1,2,1,19:53,19,53,19.88,1-BD,3,20,12,9.2,9,1,0,0,0,0,0,0,3:26 min,3,26,3.43,,
1.2.1,1.2.3.20,1,2,1,19:53,19,53,19.88,1-BD,3,20,12,10.2,10,0,0,0,0,0,0,0,3:28 min,3,28,3.47,,
1.2.1,1.2.2.5,1,2,1,19:53,19,53,19.88,1-BI,2,5,3,28.2,28,0,0,0,0,0,0,0,1:34 min,1,34,1.57,GOPR0796,"crab has a ""1"" ID, but sheets indicateit should be 28"
1.2.1,1.2.3.20,1,2,1,19:53,19,53,19.88,1-BD,3,20,12,10.2,10,0,0,0,0,0,3,1,4:32 min,4,32,4.53,GP050796,
1.2.1,1.2.3.20,1,2,1,19:53,19,53,19.88,1-BD,3,20,12,9.2,9,0,0,0,0,0,1,1,0:14 min,0,14,0.23,,
1.2.1,1.2.2.5,1,2,1,19:53,19,53,19.88,1-BI,2,5,3,25.2,25,2,0,0,0,0,0,0,0:57 min,0,57,0.95,GP010796,
1.2.1,1.2.2.5,1,2,1,19:53,19,53,19.88,1-BI,2,5,3,28.2,28,2,1,0,0,1,0,0,4:26 min,4,26,4.43,,
1.2.1,1.2.3.20,1,2,1,19:53,19,53,19.88,1-BD,3,20,12,2.2,2,0,0,0,0,0,1,0,0:09 min,0,9,0.15,,
1.2.1,1.2.2.5,1,2,1,19:53,19,53,19.88,1-BI,2,5,3,28.2,28,3,1,0,0,1,0,0,5:56 min,5,56,5.93,GP020796,
1.2.1,1.2.2.5,1,2,1,19:53,19,53,19.88,1-BI,2,5,3,25.2,25,3,0,0,0,0,0,0,1:20 min,1,20,1.33,,
1.2.1,1.2.3.20,1,2,1,19:53,19,53,19.88,1-BD,3,20,12,9.2,9,0,0,0,0,0,0,0,0:20 min,0,20,0.33,,
